"","State","District","Incumbency_Code","Democratic_votes","Republican_votes","Year","Democratic_prop","Democratic_win"
"358",1,1,"-1",13520,18818,"1898",0.418083987878038,"0"
"359",1,2,"-1",23556,27004,"1898",0.465901898734177,"0"
"360",1,3,"-1",8507,12218,"1898",0.410470446320869,"0"
"361",1,4,"-1",17754,23707,"1898",0.428209642796845,"0"
"362",2,1,"-1",9072,14598,"1898",0.383269961977186,"0"
"363",2,2,"-1",8126,15149,"1898",0.349129967776584,"0"
"364",2,3,"-1",6634,12854,"1898",0.340414614121511,"0"
"365",2,4,"-1",5534,12380,"1898",0.308920397454505,"0"
"366",3,1,"-1",8760,14315,"1898",0.379631635969664,"0"
"367",3,2,"-1",8054,13327,"1898",0.37668958421028,"0"
"368",3,3,"-1",11167,11008,"1898",0.50358511837655,"1"
"369",3,4,"-1",8485,14411,"1898",0.370588749126485,"0"
"370",3,5,"-1",13716,14737,"1898",0.482058130952799,"0"
"371",3,6,"-1",6035,13494,"1898",0.309027599979518,"0"
"372",3,7,"0",12338,16559,"1898",0.426964736823892,"0"
"373",3,8,"-1",5846,14935,"1898",0.281314662432029,"0"
"374",3,9,"1",10303,5450,"1898",0.654034152224973,"1"
"375",3,10,"-1",17149,13909,"1898",0.552160473951961,"1"
"376",3,11,"-1",10709,17001,"1898",0.386466979429809,"0"
"377",3,12,"-1",6210,13653,"1898",0.312641594925238,"0"
"378",3,13,"0",4868,13463,"1898",0.265561071409088,"0"
"379",4,1,"-1",18518,21373,"1898",0.464214985836404,"0"
"380",4,2,"-1",17266,22395,"1898",0.435339502281839,"0"
"381",5,1,"-1",6392,12081,"1898",0.346018513506198,"0"
"382",5,2,"-1",6435,9095,"1898",0.414359304571797,"0"
"383",6,1,"-1",8026,20350,"1898",0.282844657457006,"0"
"384",6,2,"-1",5967,17728,"1898",0.251825279594851,"0"
"385",11,98,"1",15053,17566,"1898",0.461479505809498,"0"
"386",12,1,"-1",18102,23864,"1898",0.431349187437449,"0"
"387",12,2,"-1",17367,24035,"1898",0.419472489251727,"0"
"388",12,3,"-1",18683,19412,"1898",0.490431815198845,"0"
"389",12,4,"0",17866,15207,"1898",0.540198953829408,"1"
"390",12,5,"-1",16342,18367,"1898",0.470828891641937,"0"
"391",12,6,"-1",20150,23843,"1898",0.45802741345214,"0"
"392",12,7,"0",30270,20162,"1898",0.600214149746193,"1"
"393",12,8,"-1",15878,20230,"1898",0.439736346516008,"0"
"394",13,1,"-1",22893,22483,"1898",0.504517806770099,"1"
"395",13,2,"1",18431,14323,"1898",0.562709898027722,"1"
"396",13,3,"0",20995,19872,"1898",0.513739692172168,"1"
"397",13,4,"-1",24581,20893,"1898",0.540550644324229,"1"
"398",13,5,"3",19579,16669,"1898",0.540140145663209,"1"
"399",13,6,"0",16215,11899,"1898",0.576758910151526,"1"
"400",13,7,"0",14122,6639,"1898",0.680217715909638,"1"
"401",13,8,"-1",10716,7347,"1898",0.593256934064109,"1"
"402",13,9,"1",11694,6447,"1898",0.64461716553663,"1"
"403",13,10,"1",18859,10620,"1898",0.639743546253265,"1"
"404",13,11,"1",14364,6178,"1898",0.699250316424886,"1"
"405",13,12,"1",15108,7710,"1898",0.662108861425191,"1"
"406",13,13,"0",17985,11393,"1898",0.612192797331336,"1"
"407",13,14,"-1",31604,25209,"1898",0.556281132839315,"1"
"408",13,15,"-1",31292,20848,"1898",0.600153433064825,"1"
"409",13,16,"0",32578,26130,"1898",0.554915854738707,"1"
"410",13,17,"0",15564,19195,"1898",0.447768923156593,"0"
"411",13,18,"-1",18348,23276,"1898",0.440803382663848,"0"
"412",13,19,"-1",19565,19593,"1898",0.499642474079371,"0"
"413",13,20,"-1",20026,19475,"1898",0.506974506974507,"1"
"414",13,21,"0",23347,25561,"1898",0.477365666148687,"0"
"415",13,22,"-1",15448,27083,"1898",0.363217417883426,"0"
"416",13,23,"0",0,25662,"1898",0,"0"
"417",13,24,"-1",15724,23991,"1898",0.395920936673801,"0"
"418",13,25,"-1",19160,22368,"1898",0.461375457522635,"0"
"419",13,26,"-1",19199,30007,"1898",0.390175994797382,"0"
"420",13,27,"0",14207,26025,"1898",0.353126864187711,"0"
"421",13,28,"-1",18831,29536,"1898",0.389335704095768,"0"
"422",13,29,"-1",18311,22348,"1898",0.450355394869525,"0"
"423",13,30,"-1",18911,25799,"1898",0.422970252739879,"0"
"424",13,31,"0",17227,20717,"1898",0.454011174362218,"0"
"425",13,32,"-1",15546,14858,"1898",0.511314300749901,"1"
"426",13,33,"-1",17233,22924,"1898",0.429140623054511,"0"
"427",13,34,"-1",13666,25856,"1898",0.345782096047771,"0"
"428",14,1,"-1",8213,25665,"1898",0.242428714800165,"0"
"429",14,2,"-1",3850,19547,"1898",0.164551010813352,"0"
"430",14,3,"1",18321,0,"1898",1,"1"
"431",14,4,"-1",12250,41627,"1898",0.227369749614863,"0"
"432",14,5,"-1",9942,30329,"1898",0.246877405577214,"0"
"434",14,7,"-1",17872,21567,"1898",0.453155505971247,"0"
"435",14,8,"-1",16400,13516,"1898",0.548201631234122,"1"
"436",14,9,"1",24137,16613,"1898",0.592319018404908,"1"
"437",14,10,"-1",7083,17482,"1898",0.288337064929778,"0"
"438",14,11,"-1",9861,11404,"1898",0.463719727251352,"0"
"439",14,12,"-1",17220,15772,"1898",0.521944713870029,"1"
"440",14,13,"-1",15042,12542,"1898",0.545316125290023,"1"
"441",14,14,"-1",9926,19352,"1898",0.339025889746567,"0"
"442",14,15,"0",9331,14541,"1898",0.390876340482574,"0"
"443",14,16,"-1",12858,15839,"1898",0.448060772903091,"0"
"444",14,17,"0",14792,12487,"1898",0.542248616151618,"1"
"445",14,18,"-1",12921,17722,"1898",0.421662369872402,"0"
"446",14,19,"0",20126,19016,"1898",0.514179142608962,"1"
"447",14,20,"0",17858,19358,"1898",0.479847377472055,"0"
"448",14,21,"0",16191,23277,"1898",0.410231073274552,"0"
"449",14,22,"-1",11049,25693,"1898",0.300718523760274,"0"
"450",14,23,"0",5608,14008,"1898",0.285889070146819,"0"
"451",14,24,"-1",21290,25524,"1898",0.454778485068569,"0"
"452",14,25,"-1",15271,18220,"1898",0.455973246543848,"0"
"453",14,26,"0",13516,13482,"1898",0.500629676272316,"1"
"454",14,27,"-1",14138,11757,"1898",0.545974126279204,"1"
"455",14,28,"-1",17550,14209,"1898",0.552599263200982,"1"
"458",21,1,"-1",20424,37506,"1898",0.352563438632833,"0"
"459",21,2,"-1",23354,27151,"1898",0.462409662409662,"0"
"460",21,3,"-1",18463,15659,"1898",0.541087861203915,"1"
"461",21,4,"-1",18876,16656,"1898",0.531239446133063,"1"
"462",21,5,"-1",19186,16018,"1898",0.544994886944665,"1"
"463",21,6,"-1",17167,18283,"1898",0.48425952045134,"0"
"464",21,7,"-1",18572,30903,"1898",0.375381505811016,"0"
